N,PDL,CALLE,COLONIA,LONGITUD,LATITUD,ID
6855,7277,DEL FRESNO,SAN JERÓNIMO CALERAS (CABECERA MUNICIPAL),-98.208561,19.103515,URBANO
6856,7278,DEL FRESNO,SAN JERÓNIMO CALERAS (CABECERA MUNICIPAL),-98.208565,19.103929,URBANO
6857,7279,UNO,EL FRESNO,-98.209284,19.103647,URBANO
6858,7280,UNO,EL FRESNO,-98.209219,19.103947,URBANO
6859,7281,UNO,EL FRESNO,-98.209157,19.104275,URBANO
6860,7282,UNO,EL FRESNO,-98.209073,19.104624,URBANO
6861,7283,UNO,EL FRESNO,-98.208966,19.105118,URBANO
6862,7284,DEL FRESNO,SAN JERÓNIMO CALERAS (CABECERA MUNICIPAL),-98.208571,19.1051,URBANO
6863,7287,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242564,19.083765,URBANO
6864,7288,ANDRES MATIENZO,MIGUEL ABED,-98.24223,19.083579,URBANO
6865,7289,ANDRES MATIENZO,MIGUEL ABED,-98.241888,19.083366,URBANO
6866,7290,ANDRES MATIENZO,MIGUEL ABED,-98.241657,19.083217,URBANO
6867,7291,PRIVADA MORENO,MIGUEL ABED,-98.241522,19.08323,URBANO
6868,7292,ANDRES MATIENZO,MIGUEL ABED,-98.241253,19.082982,URBANO
6869,7293,PRIVADA MORENO,MIGUEL ABED,-98.241654,19.082932,URBANO
6870,7294,HOMBRES ILUSTRES,MIGUEL ABED,-98.242706,19.083545,URBANO
6871,7295,ERMITA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243167,19.083775,URBANO
6872,7296,ERMITA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243514,19.084014,URBANO
6873,7297,ERMITA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243923,19.084298,URBANO
6874,7298,DIAGONAL 4 NORTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244262,19.084357,URBANO
6875,7299,DIAGONAL 4 NORTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244774,19.084375,URBANO
6876,7300,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243021,19.083569,URBANO
6877,7301,MINA,MIGUEL ABED,-98.242727,19.083438,URBANO
6878,7302,PRIVADA 1A MINA,MIGUEL ABED,-98.242719,19.082963,URBANO
6879,7303,MINA,MIGUEL ABED,-98.242087,19.082964,URBANO
6880,7304,MINA,MIGUEL ABED,-98.241859,19.082811,URBANO
6881,7305,COLON,MIGUEL ABED,-98.242151,19.082473,URBANO
6882,7306,MINA,MIGUEL ABED,-98.241626,19.082661,URBANO
6883,7307,JOSE MARIA MORELOS,MIGUEL ABED,-98.241833,19.082327,URBANO
6884,7308,JOSE MARIA MORELOS,MIGUEL ABED,-98.241876,19.081716,URBANO
6885,7309,ALLENDE,MIGUEL ABED,-98.241915,19.081404,URBANO
6886,7310,JOSE MARIA MORELOS,MIGUEL ABED,-98.241585,19.080915,URBANO
6887,7311,JOSE MARIA MORELOS,MIGUEL ABED,-98.241468,19.080614,URBANO
6888,7312,JOSE MARIA MORELOS,MIGUEL ABED,-98.241319,19.080169,URBANO
6889,7313,CARMEN SERDAN,MIGUEL ABED,-98.24158,19.079671,URBANO
6890,7314,JOSE MARIA MORELOS,MIGUEL ABED,-98.24129,19.079726,URBANO
6891,7315,RIVERA DEL ATOYAC,MIGUEL ABED,-98.240843,19.079925,URBANO
6892,7316,RIVERA DEL ATOYAC,MIGUEL ABED,-98.240602,19.08014,URBANO
6893,7317,MIGUEL E ABED,MIGUEL ABED,-98.240983,19.080281,URBANO
6894,7318,MIGUEL HIDALGO,MIGUEL ABED,-98.24108,19.080643,URBANO
6895,7319,MIGUEL E ABED,MIGUEL ABED,-98.241225,19.080959,URBANO
6896,7320,MIGUEL E ABED,MIGUEL ABED,-98.241419,19.081408,URBANO
6897,7321,MIGUEL E ABED,MIGUEL ABED,-98.24162,19.081828,URBANO
6898,7323,ALLENDE,MIGUEL ABED,-98.241048,19.081543,URBANO
6899,7324,RIO ATOYAC,MIGUEL ABED,-98.241012,19.081339,URBANO
6900,7325,RIO ATOYAC,MIGUEL ABED,-98.24088,19.080932,URBANO
6901,7326,MIGUEL HIDALGO,MIGUEL ABED,-98.240749,19.080729,URBANO
6902,7327,RIVERA DEL ATOYAC,MIGUEL ABED,-98.240387,19.080711,URBANO
6903,7328,RIVERA DEL ATOYAC,MIGUEL ABED,-98.24041,19.080322,URBANO
6904,7329,HOMBRES ILUSTRES,MIGUEL ABED,-98.24299,19.083291,URBANO
6905,7330,HOMBRES ILUSTRES,MIGUEL ABED,-98.24317,19.083036,URBANO
6906,7331,HOMBRES ILUSTRES,MIGUEL ABED,-98.243289,19.082853,URBANO
6907,7332,HOMBRES ILUSTRES,MIGUEL ABED,-98.243483,19.082527,URBANO
6908,7333,HOMBRES ILUSTRES,MIGUEL ABED,-98.243584,19.082182,URBANO
6909,7334,HOMBRES ILUSTRES,MIGUEL ABED,-98.24333,19.081858,URBANO
6910,7336,PRIVADA ALLENDE,MIGUEL ABED,-98.242617,19.081598,URBANO
6911,7337,HOMBRES ILUSTRES,MIGUEL ABED,-98.243003,19.081436,URBANO
6912,7338,ALLENDE,MIGUEL ABED,-98.242309,19.081426,URBANO
6913,7339,VICENTE GUERRERO,MIGUEL ABED,-98.24213,19.080986,URBANO
6914,7340,MIGUEL HIDALGO,MIGUEL ABED,-98.241865,19.080653,URBANO
6915,7341,VICENTE GUERRERO,MIGUEL ABED,-98.241977,19.080422,URBANO
6916,7342,VICENTE GUERRERO,MIGUEL ABED,-98.242043,19.079949,URBANO
6917,7343,CARMEN SERDAN,MIGUEL ABED,-98.241588,19.079849,URBANO
6918,7344,CARMEN SERDAN,MIGUEL ABED,-98.241906,19.079832,URBANO
6919,7345,VICENTE GUERRERO,MIGUEL ABED,-98.242092,19.079369,URBANO
6920,7346,PRIVADA VICENTE GUERRERO,MIGUEL ABED,-98.242398,19.079368,URBANO
6921,7347,VICENTE GUERRERO,MIGUEL ABED,-98.242116,19.079119,URBANO
6922,7348,RIVERA DEL ATOYAC,MIGUEL ABED,-98.241465,19.079016,URBANO
6923,7351,PATRIOTISMO,MIGUEL ABED,-98.241813,19.079005,URBANO
6924,7354,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242153,19.078637,URBANO
6925,7355,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242198,19.078201,URBANO
6926,7356,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242246,19.077735,URBANO
6927,7357,GUADALUPE VICTORIA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242216,19.077443,URBANO
6928,7358,GUADALUPE VICTORIA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241642,19.077364,URBANO
6929,7359,GUADALUPE VICTORIA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241337,19.077326,URBANO
