N,PDL,CALLE,COLONIA,LONGITUD,LATITUD,ID
1,1,BRUMA,VALLE DEL ÁNGEL,-98.217505,19.073776,URBANO
2,2,BRUMA,VALLE DEL ÁNGEL,-98.21725,19.073717,URBANO
3,3,BRUMA,VALLE DEL ÁNGEL,-98.216937,19.073639,URBANO
4,4,BRUMA,VALLE DEL ÁNGEL,-98.2167,19.073572,URBANO
5,5,BRUMA,VALLE DEL ÁNGEL,-98.216454,19.073496,URBANO
6,6,BRUMA,VALLE DEL ÁNGEL,-98.21615,19.073407,URBANO
7,7,BRUMA,VALLE DEL ÁNGEL,-98.215746,19.073297,URBANO
8,8,BRUMA,VALLE DEL ÁNGEL,-98.2154,19.073199,URBANO
9,9,BRUMA,VALLE DEL ÁNGEL,-98.215165,19.073149,URBANO
10,10,BRUMA,VALLE DEL ÁNGEL,-98.21489,19.073076,URBANO
11,11,BRUMA,VALLE DEL ÁNGEL,-98.214522,19.072981,URBANO
12,12,BRUMA,VALLE DEL ÁNGEL,-98.214244,19.072905,URBANO
13,13,BRUMA,VALLE DEL ÁNGEL,-98.213943,19.072821,URBANO
14,14,RAYO,VALLE DEL ÁNGEL,-98.214098,19.072659,URBANO
15,15,RAYO,VALLE DEL ÁNGEL,-98.214215,19.072276,URBANO
16,16,RAYO,VALLE DEL ÁNGEL,-98.214321,19.071927,URBANO
17,17,RAYO,VALLE DEL ÁNGEL,-98.214463,19.071475,URBANO
18,18,RAYO,VALLE DEL ÁNGEL,-98.214566,19.071147,URBANO
19,19,RAYO,VALLE DEL ÁNGEL,-98.214666,19.070806,URBANO
20,20,LLUVIA,VALLE DEL ÁNGEL,-98.214593,19.072747,URBANO
21,21,LLUVIA,VALLE DEL ÁNGEL,-98.214699,19.072405,URBANO
22,22,LLUVIA,VALLE DEL ÁNGEL,-98.214805,19.072067,URBANO
23,23,LLUVIA,VALLE DEL ÁNGEL,-98.214943,19.071607,URBANO
24,24,LLUVIA,VALLE DEL ÁNGEL,-98.215049,19.071282,URBANO
25,25,LLUVIA,VALLE DEL ÁNGEL,-98.215182,19.07088,URBANO
26,26,NUBE,VALLE DEL ÁNGEL,-98.215088,19.072889,URBANO
27,27,NUBE,VALLE DEL ÁNGEL,-98.215188,19.072551,URBANO
28,28,NUBE,VALLE DEL ÁNGEL,-98.215291,19.072198,URBANO
29,29,NUBE,VALLE DEL ÁNGEL,-98.215447,19.071747,URBANO
30,30,NUBE,VALLE DEL ÁNGEL,-98.215547,19.071414,URBANO
31,31,NUBE,VALLE DEL ÁNGEL,-98.215668,19.071017,URBANO
32,32,BRISA,VALLE DEL ÁNGEL,-98.215554,19.073015,URBANO
33,33,BRISA,VALLE DEL ÁNGEL,-98.215655,19.072663,URBANO
34,34,BRISA,VALLE DEL ÁNGEL,-98.215746,19.072324,URBANO
35,35,BRISA,VALLE DEL ÁNGEL,-98.215931,19.071881,URBANO
36,36,BRISA,VALLE DEL ÁNGEL,-98.216034,19.071542,URBANO
37,37,BRISA,VALLE DEL ÁNGEL,-98.216155,19.071165,URBANO
38,38,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.215968,19.073133,URBANO
39,39,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216072,19.072769,URBANO
40,40,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216172,19.072428,URBANO
41,41,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216316,19.071968,URBANO
42,42,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216424,19.071642,URBANO
43,43,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216534,19.071263,URBANO
44,44,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216438,19.073251,URBANO
45,45,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216552,19.07289,URBANO
46,46,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216653,19.072549,URBANO
47,47,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216756,19.072199,URBANO
48,48,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.216885,19.071808,URBANO
49,49,BOULEVARD DEL VALLE,VALLE DEL ÁNGEL,-98.217015,19.071398,URBANO
50,50,FUEGO,VALLE DEL ÁNGEL,-98.21693,19.073393,URBANO
51,51,FUEGO,VALLE DEL ÁNGEL,-98.217042,19.073035,URBANO
52,52,FUEGO,VALLE DEL ÁNGEL,-98.217139,19.072697,URBANO
53,53,FUEGO,VALLE DEL ÁNGEL,-98.217255,19.072329,URBANO
54,54,FUEGO,VALLE DEL ÁNGEL,-98.21737,19.071935,URBANO
55,55,FUEGO,VALLE DEL ÁNGEL,-98.217494,19.071525,URBANO
56,56,AIRE,VALLE DEL ÁNGEL,-98.217498,19.072781,URBANO
57,57,AIRE,VALLE DEL ÁNGEL,-98.217415,19.073139,URBANO
58,58,AIRE,VALLE DEL ÁNGEL,-98.217318,19.073503,URBANO
59,59,AIRE,VALLE DEL ÁNGEL,-98.217646,19.072433,URBANO
60,60,AIRE,VALLE DEL ÁNGEL,-98.217773,19.072034,URBANO
61,61,AIRE,VALLE DEL ÁNGEL,-98.217905,19.071629,URBANO
62,62,AGUA,VALLE DEL ÁNGEL,-98.217611,19.073573,URBANO
63,63,AGUA,VALLE DEL ÁNGEL,-98.217867,19.073389,URBANO
64,64,AGUA,VALLE DEL ÁNGEL,-98.217911,19.073271,URBANO
65,65,AGUA,VALLE DEL ÁNGEL,-98.218025,19.07291,URBANO
66,66,AGUA,VALLE DEL ÁNGEL,-98.218145,19.072545,URBANO
67,67,AGUA,VALLE DEL ÁNGEL,-98.218262,19.072149,URBANO
68,68,AGUA,VALLE DEL ÁNGEL,-98.218389,19.07175,URBANO
69,69,NIEBLA,VALLE DEL ÁNGEL,-98.218341,19.071559,URBANO
70,70,NIEBLA,VALLE DEL ÁNGEL,-98.217996,19.071475,URBANO
71,71,NIEBLA,VALLE DEL ÁNGEL,-98.217616,19.07138,URBANO
72,72,NIEBLA,VALLE DEL ÁNGEL,-98.217353,19.071307,URBANO
73,73,NIEBLA,VALLE DEL ÁNGEL,-98.217072,19.071228,URBANO
74,74,NIEBLA,VALLE DEL ÁNGEL,-98.216814,19.071161,URBANO
75,75,NIEBLA,VALLE DEL ÁNGEL,-98.216555,19.071092,URBANO
76,76,NIEBLA,VALLE DEL ÁNGEL,-98.216222,19.071003,URBANO
77,77,NIEBLA,VALLE DEL ÁNGEL,-98.215851,19.070891,URBANO
78,78,NIEBLA,VALLE DEL ÁNGEL,-98.215643,19.070832,URBANO
79,79,NIEBLA,VALLE DEL ÁNGEL,-98.215298,19.070731,URBANO
80,80,NIEBLA,VALLE DEL ÁNGEL,-98.215041,19.070678,URBANO
81,81,NIEBLA,VALLE DEL ÁNGEL,-98.214768,19.070583,URBANO
82,82,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.218548,19.072853,URBANO
83,82,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.218548,19.072853,URBANO
84,83,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.218171,19.072745,URBANO
85,83,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.218171,19.072745,URBANO
86,84,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.217914,19.072677,URBANO
87,84,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.217914,19.072677,URBANO
88,85,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.217528,19.072574,URBANO
89,85,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.217528,19.072574,URBANO
90,86,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.217354,19.072525,URBANO
91,86,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.217354,19.072525,URBANO
92,87,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21693,19.072413,URBANO
93,87,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21693,19.072413,URBANO
94,88,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21649,19.072291,URBANO
95,88,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21649,19.072291,URBANO
96,89,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.216233,19.072229,URBANO
97,89,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.216233,19.072229,URBANO
98,90,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21591,19.072136,URBANO
99,90,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21591,19.072136,URBANO
100,91,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.215638,19.072058,URBANO
101,91,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.215638,19.072058,URBANO
102,92,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.215339,19.071975,URBANO
103,92,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.215339,19.071975,URBANO
104,93,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.215154,19.07193,URBANO
105,93,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.215154,19.07193,URBANO
106,94,LLUVIA,VALLE DEL ÁNGEL,-98.214839,19.071837,URBANO
107,94,LLUVIA,VALLE DEL ÁNGEL,-98.214839,19.071837,URBANO
108,95,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21458,19.07176,URBANO
109,95,AVENIDA EL ANGEL,VALLE DEL ÁNGEL,-98.21458,19.07176,URBANO
110,96,RAYO,VALLE DEL ÁNGEL,-98.214349,19.071696,URBANO
111,96,RAYO,VALLE DEL ÁNGEL,-98.214349,19.071696,URBANO
112,97,39 NORTE,QUETZALCOATL,-98.218069,19.0688,URBANO
113,98,22-A PONIENTE,QUETZALCOATL,-98.217883,19.068683,URBANO
114,99,22-A PONIENTE,QUETZALCOATL,-98.217535,19.068392,URBANO
115,100,22-A PONIENTE,QUETZALCOATL,-98.21731,19.068206,URBANO
116,101,22-A PONIENTE,VALLE DORADO,-98.21721,19.067993,URBANO
117,102,22-A PONIENTE,VALLE DORADO,-98.216881,19.06772,URBANO
118,103,22-A PONIENTE,VALLE DORADO,-98.21658,19.067463,URBANO
119,104,22-A PONIENTE,VALLE DORADO,-98.21633,19.067233,URBANO
120,105,22-A PONIENTE,VALLE DORADO,-98.216126,19.067054,URBANO
121,106,22-A PONIENTE,VALLE DORADO,-98.215804,19.066775,URBANO
122,107,22-A PONIENTE,VALLE DORADO,-98.215475,19.066491,URBANO
123,108,22-A PONIENTE,VALLE DORADO,-98.215236,19.066293,URBANO
124,109,22-A PONIENTE,VALLE DORADO,-98.215041,19.066117,URBANO
125,110,22-A PONIENTE,VALLE DORADO,-98.214701,19.065833,URBANO
126,111,22-A PONIENTE,VALLE DORADO,-98.2144,19.065571,URBANO
127,112,22-A PONIENTE,VALLE DORADO,-98.214177,19.065384,URBANO
128,113,22 PONIENTE,VALLE DORADO,-98.213744,19.065659,URBANO
129,114,22 PONIENTE,VALLE DORADO,-98.213984,19.065873,URBANO
130,115,22 PONIENTE,VALLE DORADO,-98.214313,19.066146,URBANO
131,116,22 PONIENTE,VALLE DORADO,-98.214592,19.066392,URBANO
132,117,22 PONIENTE,VALLE DORADO,-98.214803,19.066558,URBANO
133,118,22 PONIENTE,VALLE DORADO,-98.215077,19.066788,URBANO
134,119,22 PONIENTE,VALLE DORADO,-98.215311,19.067001,URBANO
135,120,22 PONIENTE,VALLE DORADO,-98.21555,19.067205,URBANO
136,121,22 PONIENTE,VALLE DORADO,-98.215779,19.067403,URBANO
137,122,22 PONIENTE,VALLE DORADO,-98.215917,19.067514,URBANO
138,123,22 PONIENTE,VALLE DORADO,-98.21614,19.067711,URBANO
139,124,22 PONIENTE,VALLE DORADO,-98.216396,19.067928,URBANO
140,125,22 PONIENTE,VALLE DORADO,-98.216661,19.068158,URBANO
141,126,22 PONIENTE,VALLE DORADO,-98.216873,19.068334,URBANO
142,127,37 NORTE,VALLE DORADO,-98.216898,19.068542,URBANO
143,127,37 NORTE,VALLE DORADO,-98.216898,19.068542,URBANO
144,128,37 NORTE,VALLE DORADO,-98.216722,19.068725,URBANO
145,129,24 PONIENTE,FRACCIONAMIENTO RANCHO COLORADO (VALLE DORADO),-98.217361,19.06938,URBANO
146,130,24 PONIENTE,FRACCIONAMIENTO RANCHO COLORADO (VALLE DORADO),-98.217018,19.069093,URBANO
147,131,24 PONIENTE,VALLE DORADO,-98.216683,19.068815,URBANO
148,132,24 PONIENTE,VALLE DORADO,-98.216541,19.068687,URBANO
149,133,24 PONIENTE,VALLE DORADO,-98.216299,19.068473,URBANO
150,134,24 PONIENTE,VALLE DORADO,-98.215992,19.068219,URBANO
151,135,24 PONIENTE,VALLE DORADO,-98.215814,19.068072,URBANO
152,136,24 PONIENTE,VALLE DORADO,-98.215554,19.06785,URBANO
153,137,24 PONIENTE,VALLE DORADO,-98.215335,19.067667,URBANO
154,138,24 PONIENTE,VALLE DORADO,-98.215105,19.067471,URBANO
155,139,24 PONIENTE,VALLE DORADO,-98.214856,19.067262,URBANO
156,140,24 PONIENTE,VALLE DORADO,-98.214665,19.067095,URBANO
157,141,24 PONIENTE,VALLE DORADO,-98.214453,19.066927,URBANO
158,142,24 PONIENTE,VALLE DORADO,-98.214256,19.066744,URBANO
159,143,24 PONIENTE,VALLE DORADO,-98.213971,19.066494,URBANO
160,144,24 PONIENTE,VALLE DORADO,-98.213671,19.066231,URBANO
161,145,24-A PONIENTE,RINCÓN DEL VALLE,-98.213014,19.066285,URBANO
162,146,24-A PONIENTE,RINCÓN DEL VALLE,-98.213228,19.066478,URBANO
163,147,DIAGONAL CUAUHTEMOC,RINCÓN DEL VALLE,-98.213466,19.066679,URBANO
164,148,24-A PONIENTE,VALLE DORADO,-98.213796,19.06696,URBANO
165,149,24-A PONIENTE,VALLE DORADO,-98.214102,19.067281,URBANO
166,150,24-A PONIENTE,VALLE DORADO,-98.214348,19.067479,URBANO
167,151,24-A PONIENTE,VALLE DORADO,-98.215361,19.06845,URBANO
168,152,24-A PONIENTE,VALLE DORADO,-98.215607,19.068658,URBANO
169,153,24-A PONIENTE,VALLE DORADO,-98.215875,19.068886,URBANO
170,154,24-A PONIENTE,VALLE DORADO,-98.216061,19.069045,URBANO
171,155,24-A PONIENTE,VALLE DORADO,-98.216499,19.069314,URBANO
172,156,24-A PONIENTE,VALLE DORADO,-98.216581,19.069507,URBANO
173,157,24-B PONIENTE,VALLE DORADO,-98.212557,19.06669,URBANO
174,158,24-B PONIENTE,VALLE DORADO,-98.21297,19.067041,URBANO
175,159,24-B PONIENTE,VALLE DORADO,-98.213158,19.067191,URBANO
176,160,24-B PONIENTE,VALLE DORADO,-98.213819,19.067636,URBANO
177,161,24-B PONIENTE,VALLE DORADO,-98.214062,19.067858,URBANO
178,164,26 PONIENTE,VALLE DORADO,-98.213044,19.067619,URBANO
179,165,26 PONIENTE,VALLE DORADO,-98.213334,19.067867,URBANO
180,166,26 PONIENTE,VALLE DORADO,-98.213577,19.068084,URBANO
181,167,26-A PONIENTE,VALLE DORADO,-98.21183,19.067227,URBANO
182,168,26-A PONIENTE,VALLE DORADO,-98.212008,19.067378,URBANO
183,169,26-A PONIENTE,VALLE DORADO,-98.212228,19.067566,URBANO
184,170,26-A PONIENTE,VALLE DORADO,-98.212511,19.067808,URBANO
185,171,26-A PONIENTE,VALLE DORADO,-98.212742,19.067998,URBANO
186,172,26-A PONIENTE,VALLE DORADO,-98.21297,19.068194,URBANO
187,173,26-A PONIENTE,VALLE DORADO,-98.2132,19.068391,URBANO
188,174,26-A PONIENTE,VALLE DORADO,-98.213469,19.068622,URBANO
189,175,26-A PONIENTE,VALLE DORADO,-98.213696,19.068828,URBANO
190,176,26-B PONIENTE,VALLE DORADO,-98.211474,19.067543,URBANO
191,177,26-B PONIENTE,VALLE DORADO,-98.211665,19.067702,URBANO
192,178,26-B PONIENTE,VALLE DORADO,-98.211915,19.067911,URBANO
193,179,26-B PONIENTE,VALLE DORADO,-98.212171,19.068125,URBANO
194,180,26-B PONIENTE,VALLE DORADO,-98.212367,19.068291,URBANO
195,181,26-B PONIENTE,VALLE DORADO,-98.212595,19.0685,URBANO
196,182,26-B PONIENTE,VALLE DORADO,-98.212852,19.068733,URBANO
197,183,28 PONIENTE,VALLE DORADO,-98.210993,19.067938,URBANO
198,184,28 PONIENTE,VALLE DORADO,-98.211257,19.068161,URBANO
199,185,28 PONIENTE,VALLE DORADO,-98.211603,19.068455,URBANO
200,186,28 PONIENTE,VALLE DORADO,-98.211864,19.068674,URBANO
201,187,37 NORTE,VALLE DORADO,-98.216418,19.06902,URBANO
202,188,37 NORTE,VALLE DORADO,-98.216196,19.06925,URBANO
203,189,37 NORTE,VALLE DORADO,-98.216032,19.069417,URBANO
204,190,35 NORTE,VALLE DORADO,-98.216064,19.067347,URBANO
205,191,35 NORTE,VALLE DORADO,-98.215773,19.067598,URBANO
206,192,35 NORTE,VALLE DORADO,-98.215575,19.06776,URBANO
207,193,35 NORTE,VALLE DORADO,-98.215284,19.067977,URBANO
208,194,33 NORTE,VALLE DORADO,-98.215293,19.066107,URBANO
209,196,33 NORTE,VALLE DORADO,-98.214836,19.06648,URBANO
210,197,33 NORTE,VALLE DORADO,-98.214563,19.066727,URBANO
211,198,33 NORTE,VALLE DORADO,-98.214426,19.066839,URBANO
212,199,33 NORTE,VALLE DORADO,-98.214287,19.066927,URBANO
213,200,33 NORTE,VALLE DORADO,-98.214041,19.067154,URBANO
214,201,33 NORTE,VALLE DORADO,-98.213775,19.067368,URBANO
215,202,33 NORTE,VALLE DORADO,-98.213495,19.067595,URBANO
216,203,33 NORTE,VALLE DORADO,-98.21329,19.067764,URBANO
217,204,33 NORTE,VALLE DORADO,-98.21311,19.06791,URBANO
218,205,33 NORTE,VALLE DORADO,-98.212919,19.068072,URBANO
219,206,33 NORTE,VALLE DORADO,-98.212628,19.06831,URBANO
220,207,33 NORTE,VALLE DORADO,-98.212286,19.068611,URBANO
221,208,DIAGONAL CUAUHTEMOC,VALLE DORADO,-98.213681,19.06808,URBANO
222,209,DIAGONAL CUAUHTEMOC,VALLE DORADO,-98.21362,19.06765,URBANO
223,210,DIAGONAL CUAUHTEMOC,VALLE DORADO,-98.213666,19.067123,URBANO
224,211,DIAGONAL CUAUHTEMOC,VALLE DORADO,-98.213615,19.066719,URBANO
225,212,GRAN AVENIDA,SAN ALEJANDRO,-98.216215,19.056847,URBANO
226,212,GRAN AVENIDA,SAN ALEJANDRO,-98.216215,19.056847,URBANO
227,213,GRAN AVENIDA,SAN ALEJANDRO,-98.216006,19.057034,URBANO
228,213,GRAN AVENIDA,SAN ALEJANDRO,-98.216006,19.057034,URBANO
229,214,GRAN AVENIDA,SAN ALEJANDRO,-98.215682,19.057312,URBANO
230,214,GRAN AVENIDA,SAN ALEJANDRO,-98.215682,19.057312,URBANO
231,215,GRAN AVENIDA,SAN ALEJANDRO,-98.215434,19.057518,URBANO
232,215,GRAN AVENIDA,SAN ALEJANDRO,-98.215434,19.057518,URBANO
233,216,10 PONIENTE,SAN ALEJANDRO,-98.215219,19.057708,URBANO
234,216,10 PONIENTE,SAN ALEJANDRO,-98.215219,19.057708,URBANO
235,217,GRAN AVENIDA,SAN ALEJANDRO,-98.214997,19.057891,URBANO
236,217,GRAN AVENIDA,SAN ALEJANDRO,-98.214997,19.057891,URBANO
237,218,GRAN AVENIDA,SAN ALEJANDRO,-98.2147,19.058143,URBANO
238,218,GRAN AVENIDA,SAN ALEJANDRO,-98.2147,19.058143,URBANO
239,219,GRAN AVENIDA,SAN ALEJANDRO,-98.214467,19.058336,URBANO
240,219,GRAN AVENIDA,SAN ALEJANDRO,-98.214467,19.058336,URBANO
241,220,GRAN AVENIDA,SAN ALEJANDRO,-98.214227,19.058538,URBANO
242,220,GRAN AVENIDA,SAN ALEJANDRO,-98.214227,19.058538,URBANO
243,221,GRAN AVENIDA,SAN ALEJANDRO,-98.213971,19.05876,URBANO
244,221,GRAN AVENIDA,SAN ALEJANDRO,-98.213971,19.05876,URBANO
245,222,GRAN AVENIDA,SAN ALEJANDRO,-98.213729,19.058963,URBANO
246,222,GRAN AVENIDA,SAN ALEJANDRO,-98.213729,19.058963,URBANO
247,223,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.213448,19.059209,URBANO
248,223,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.213448,19.059209,URBANO
249,224,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.213173,19.059452,URBANO
250,224,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.213173,19.059452,URBANO
251,225,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.212868,19.059712,URBANO
252,225,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.212868,19.059712,URBANO
253,226,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.212454,19.06006,URBANO
254,226,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.212454,19.06006,URBANO
255,227,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.212159,19.060305,URBANO
256,227,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.212159,19.060305,URBANO
257,228,GRAN AVENIDA,MAESTRO FEDERAL,-98.211836,19.060565,URBANO
258,228,GRAN AVENIDA,MAESTRO FEDERAL,-98.211836,19.060565,URBANO
259,229,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.211533,19.06086,URBANO
260,229,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.211533,19.06086,URBANO
261,230,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.211185,19.061159,URBANO
262,230,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.211185,19.061159,URBANO
263,231,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.210893,19.061392,URBANO
264,231,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.210893,19.061392,URBANO
265,232,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.210609,19.061643,URBANO
266,232,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.210609,19.061643,URBANO
267,233,GRAN AVENIDA,MAESTRO FEDERAL,-98.210257,19.061924,URBANO
268,233,GRAN AVENIDA,MAESTRO FEDERAL,-98.210257,19.061924,URBANO
269,234,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.210033,19.062213,URBANO
270,234,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.210033,19.062213,URBANO
271,235,GRAN AVENIDA,MAESTRO FEDERAL,-98.209727,19.062532,URBANO
272,235,GRAN AVENIDA,MAESTRO FEDERAL,-98.209727,19.062532,URBANO
273,236,GRAN AVENIDA,MAESTRO FEDERAL,-98.209511,19.062803,URBANO
274,236,GRAN AVENIDA,MAESTRO FEDERAL,-98.209511,19.062803,URBANO
275,237,GRAN AVENIDA,MAESTRO FEDERAL,-98.209223,19.063207,URBANO
276,237,GRAN AVENIDA,MAESTRO FEDERAL,-98.209223,19.063207,URBANO
277,238,GRAN AVENIDA,MAESTRO FEDERAL,-98.208988,19.063544,URBANO
278,238,GRAN AVENIDA,MAESTRO FEDERAL,-98.208988,19.063544,URBANO
279,239,GRAN AVENIDA,MAESTRO FEDERAL,-98.208718,19.063917,URBANO
280,239,GRAN AVENIDA,MAESTRO FEDERAL,-98.208718,19.063917,URBANO
281,240,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.208396,19.064388,URBANO
282,240,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.208396,19.064388,URBANO
283,241,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.208152,19.064658,URBANO
284,241,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.208152,19.064658,URBANO
285,242,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.207881,19.064907,URBANO
286,242,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.207881,19.064907,URBANO
287,243,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.207475,19.065312,URBANO
288,243,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.207475,19.065312,URBANO
289,244,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.207253,19.065548,URBANO
290,244,GRAN AVENIDA,LAS HADAS - MUNDIAL MEXICO 86,-98.207253,19.065548,URBANO
291,245,GRAN AVENIDA,JOSÉ MARÍA MORELOS Y PAVÓN,-98.206921,19.065756,URBANO
292,246,GRAN AVENIDA,JOSÉ MARÍA MORELOS Y PAVÓN,-98.20667,19.066083,URBANO
293,247,GRAN AVENIDA,LAS CUARTILLAS,-98.206516,19.06633,URBANO
294,248,GRAN AVENIDA,LAS CUARTILLAS,-98.206213,19.066759,URBANO
295,249,GRAN AVENIDA,LAS CUARTILLAS,-98.206034,19.06702,URBANO
296,250,GRAN AVENIDA,LAS CUARTILLAS,-98.205816,19.067313,URBANO
297,251,GRAN AVENIDA,LAS CUARTILLAS,-98.205579,19.067633,URBANO
298,252,GRAN AVENIDA,LAS CUARTILLAS,-98.205421,19.067887,URBANO
299,253,GRAN AVENIDA,LAS CUARTILLAS,-98.205156,19.068235,URBANO
300,254,GRAN AVENIDA,LAS CUARTILLAS,-98.204914,19.068557,URBANO
301,255,GRAN AVENIDA,LAS CUARTILLAS,-98.204716,19.068855,URBANO
302,256,GRAN AVENIDA,LAS CUARTILLAS,-98.20443,19.069262,URBANO
303,257,GRAN AVENIDA,LAS CUARTILLAS,-98.204326,19.069651,URBANO
304,258,GRAN AVENIDA,LAS CUARTILLAS,-98.203997,19.069884,URBANO
305,259,GRAN AVENIDA,LAS CUARTILLAS,-98.203783,19.070198,URBANO
306,260,GRAN AVENIDA,LAS CUARTILLAS,-98.203592,19.070474,URBANO
307,261,GRAN AVENIDA,LAS CUARTILLAS,-98.203412,19.070737,URBANO
308,262,GRAN AVENIDA,LAS CUARTILLAS,-98.203131,19.071118,URBANO
309,263,GRAN AVENIDA,LAS CUARTILLAS,-98.202964,19.071347,URBANO
310,264,GRAN AVENIDA,LAS CUARTILLAS,-98.202767,19.071623,URBANO
311,265,GRAN AVENIDA,LAS CUARTILLAS,-98.202563,19.071908,URBANO
312,266,ARGELIA,SAN ALEJANDRO,-98.215277,19.058235,URBANO
313,267,ARGELIA,SAN ALEJANDRO,-98.215095,19.058392,URBANO
314,268,ARGELIA,SAN ALEJANDRO,-98.2149,19.058557,URBANO
315,269,ARGELIA,SAN ALEJANDRO,-98.214685,19.058735,URBANO
316,270,ARGELIA,SAN ALEJANDRO,-98.214434,19.05895,URBANO
317,271,ARGELIA,SAN ALEJANDRO,-98.214213,19.059138,URBANO
318,272,ARGELIA,SAN ALEJANDRO,-98.214008,19.05931,URBANO
319,273,DIAGONAL 14 PONIENTE,SAN ALEJANDRO,-98.213754,19.05917,URBANO
320,274,INCA,SAN ALEJANDRO,-98.215645,19.058649,URBANO
321,274,INCA,SAN ALEJANDRO,-98.215645,19.058649,URBANO
322,275,INCA,SAN ALEJANDRO,-98.215462,19.058802,URBANO
323,275,INCA,SAN ALEJANDRO,-98.215462,19.058802,URBANO
324,276,INCA,SAN ALEJANDRO,-98.21525,19.058983,URBANO
325,276,INCA,SAN ALEJANDRO,-98.21525,19.058983,URBANO
326,277,INCA,SAN ALEJANDRO,-98.215022,19.059171,URBANO
